#,Title,Given Work,Given Earliest Start,Resources,Predecessors,Given Duration,Given End,Notes,Planned Base Costs,Tags,Assignment,Actual Start,Actual End,Actual Work,Given Earliest End,Given Latest End,Given Latest Start,Given Start,Remaining Work,Requested Budget,Complete,Milestone,Successors,Budget,Base Costs,Work Costs,Attachment Cost,Actual Base Costs,Approved Budget,Base Costs Accrual,Budget Billable,Budget Information,Budget Status,Subtitle
1,POC,2 days,15 Jul 2024,NN,,2 days,16 Jul 2024,Proof of Concept,1500,Development,NN,15 Jul 2024,16 Jul 2024,2 days,16 Jul 2024,16 Jul 2024,15 Jul 2024,15 Jul 2024,0 days,1500,100%,FALSE,2,1500,1500,0,0,1500,1500,Accrue immediately,FALSE,,No Budget,
2,Branding Milestone,0 days,17 Jul 2024,NN,1,0 days,17 Jul 2024,Branding work milestone,0,Milestone,NN,17 Jul 2024,17 Jul 2024,0 days,17 Jul 2024,17 Jul 2024,17 Jul 2024,17 Jul 2024,0 days,0,100%,TRUE,3,0,0,0,0,0,0,Accrue immediately,FALSE,,No Budget,
3,Tone of Voice,2 days,18 Jul 2024,NN,2,2 days,19 Jul 2024,Define tone of voice,500,Branding,NN,18 Jul 2024,19 Jul 2024,2 days,19 Jul 2024,19 Jul 2024,18 Jul 2024,18 Jul 2024,0 days,500,100%,FALSE,4,500,500,0,0,500,500,Accrue immediately,FALSE,,No Budget,
4,Logo Design,2 days,20 Jul 2024,NN,3,2 days,21 Jul 2024,Design logo,600,Branding,NN,20 Jul 2024,21 Jul 2024,2 days,21 Jul 2024,21 Jul 2024,20 Jul 2024,20 Jul 2024,0 days,600,100%,FALSE,5,600,600,0,0,600,600,Accrue immediately,FALSE,,No Budget,
5,Frontend Development,3 days,22 Jul 2024,NA,4,3 days,24 Jul 2024,Develop frontend,2000,Development,NA,22 Jul 2024,24 Jul 2024,3 days,24 Jul 2024,24 Jul 2024,22 Jul 2024,22 Jul 2024,0 days,2000,100%,FALSE,6,2000,2000,0,0,2000,2000,Accrue immediately,FALSE,,No Budget,
6,Backend Development,3 days,25 Jul 2024,NA,5,3 days,27 Jul 2024,Develop backend,2000,Development,NA,25 Jul 2024,27 Jul 2024,3 days,27 Jul 2024,27 Jul 2024,25 Jul 2024,25 Jul 2024,0 days,2000,100%,FALSE,7,2000,2000,0,0,2000,2000,Accrue immediately,FALSE,,No Budget,
7,Localization,2 days,28 Jul 2024,NN,6,2 days,29 Jul 2024,Localize application,900,Localization,NN,28 Jul 2024,29 Jul 2024,2 days,29 Jul 2024,29 Jul 2024,28 Jul 2024,28 Jul 2024,0 days,900,100%,FALSE,8,900,900,0,0,900,900,Accrue immediately,FALSE,,No Budget,
8,Content Strategy,2 days,30 Jul 2024,NN,7,2 days,31 Jul 2024,Create content strategy,1000,Content,NN,30 Jul 2024,31 Jul 2024,2 days,31 Jul 2024,31 Jul 2024,30 Jul 2024,30 Jul 2024,0 days,1000,100%,FALSE,9,1000,1000,0,0,1000,1000,Accrue immediately,FALSE,,No Budget,
9,Testing Strategy,2 days,15 Jul 2024,NA,8,2 days,16 Jul 2024,Create testing strategy,1200,Testing,NA,15 Jul 2024,16 Jul 2024,2 days,16 Jul 2024,16 Jul 2024,15 Jul 2024,15 Jul 2024,0 days,1200,100%,FALSE,10,1200,1200,0,0,1200,1200,Accrue immediately,FALSE,,No Budget,
10,Authorization,2 days,17 Jul 2024,NA,9,2 days,18 Jul 2024,Implement authorization,1000,Development,NA,17 Jul 2024,18 Jul 2024,2 days,18 Jul 2024,18 Jul 2024,17 Jul 2024,17 Jul 2024,0 days,1000,100%,FALSE,11,1000,1000,0,0,1000,1000,Accrue immediately,FALSE,,No Budget,
11,Authentication,2 days,19 Jul 2024,NA,10,2 days,20 Jul 2024,Implement authentication,1200,Development,NA,19 Jul 2024,20 Jul 2024,2 days,20 Jul 2024,20 Jul 2024,19 Jul 2024,19 Jul 2024,0 days,1200,100%,FALSE,12,1200,1200,0,0,1200,1200,Accrue immediately,FALSE,,No Budget,
12,Exchange Map,2 days,21 Jul 2024,NA,11,2 days,22 Jul 2024,Implement map functionality,1100,Development,NA,21 Jul 2024,22 Jul 2024,2 days,22 Jul 2024,22 Jul 2024,21 Jul 2024,21 Jul 2024,0 days,1100,100%,FALSE,13,1100,1100,0,0,1100,1100,Accrue immediately,FALSE,,No Budget,
13,Exchange Functionality,3 days,23 Jul 2024,NN,12,3 days,25 Jul 2024,Implement exchange functionality,1600,Development,NN,23 Jul 2024,25 Jul 2024,3 days,25 Jul 2024,25 Jul 2024,23 Jul 2024,23 Jul 2024,0 days,1600,100%,FALSE,14,1600,1600,0,0,1600,1600,Accrue immediately,FALSE,,No Budget,
14,Final Testing,2 days,26 Jul 2024,NA,13,2 days,27 Jul 2024,Final testing,1500,Testing,NA,26 Jul 2024,27 Jul 2024,2 days,27 Jul 2024,27 Jul 2024,26 Jul 2024,26 Jul 2024,0 days,1500,100%,FALSE,15,1500,1500,0,0,1500,1500,Accrue immediately,FALSE,,No Budget,
15,MVP Milestone,0 days,28 Jul 2024,NN,14,0 days,28 Jul 2024,MVP release,0,Milestone,NN,28 Jul 2024,28 Jul 2024,0 days,28 Jul 2024,28 Jul 2024,28 Jul 2024,28 Jul 2024,0 days,0,100%,TRUE,16,0,0,0,0,0,0,Accrue immediately,FALSE,,No Budget,
16,Design Fixes,2 days,29 Jul 2024,NN,15,2 days,30 Jul 2024,Implement design fixes,600,Design,NN,29 Jul 2024,30 Jul 2024,2 days,30 Jul 2024,30 Jul 2024,29 Jul 2024,29 Jul 2024,0 days,600,100%,FALSE,17,600,600,0,0,600,600,Accrue immediately,FALSE,,No Budget,
17,Logo,1 day,31 Jul 2024,NN,16,1 day,31 Jul 2024,Design logo,300,Design,NN,31 Jul 2024,31 Jul 2024,1 day,31 Jul 2024,31 Jul 2024,31 Jul 2024,31 Jul 2024,0 days,300,100%,FALSE,18,300,300,0,0,300,300,Accrue immediately,FALSE,,No Budget,
18,Branding,1 day,15 Jul 2024,NN,17,1 day,15 Jul 2024,Branding work,400,Design,NN,15 Jul 2024,15 Jul 2024,1 day,15 Jul 2024,15 Jul 2024,15 Jul 2024,15 Jul 2024,0 days,400,100%,FALSE,19,400,400,0,0,400,400,Accrue immediately,FALSE,,No Budget,
19,Site Generation,2 days,16 Jul 2024,NA,18,2 days,17 Jul 2024,Generate site,1000,Development,NA,16 Jul 2024,17 Jul 2024,2 days,17 Jul 2024,17 Jul 2024,16 Jul 2024,16 Jul 2024,0 days,1000,100%,FALSE,20,1000,1000,0,0,1000,1000,Accrue immediately,FALSE,,No Budget,
20,Exchange Service,3 days,18 Jul 2024,NN,19,3 days,20 Jul 2024,Implement exchange service,1600,Development,NN,18 Jul 2024,20 Jul 2024,3 days,20 Jul 2024,20 Jul 2024,18 Jul 2024,18 Jul 2024,0 days,1600,100%,FALSE,21,1600,1600,0,0,1600,1600,Accrue immediately,FALSE,,No Budget,
21,Launch,0 days,31 Jul 2024,NN,20,0 days,31 Jul 2024,Product launch,0,Milestone,NN,31 Jul 2024,31 Jul 2024,0 days,31 Jul 2024,31 Jul 2024,31 Jul 2024,31 Jul 2024,0 days,0,100%,TRUE,,0,0,0,0,0,0,Accrue immediately,FALSE,,No Budget,
